ID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,CommunicationSkill,Behaviour,Experience,LvlGrownInOrg,ContributionIndex,TechnicalExpertise,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FormalWarnings,ProjectsContributed,Attrition,YearsAtCompany
11,27,Travel_Rarely,1469,Research & Development,1,Male,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,1,1,7697,1,10283,8,2,80,1,5,2,2,Medical,1,497,4,3,2,0,4,0,17,0,5
12,29,Travel_Rarely,1370,Research & Development,3,Male,87,3,1,Laboratory Technician,1,Single,4723,16213,1,Y,Yes,18,3,3,1,31247,0,9590,22,4,80,0,10,3,1,Medical,1,1586,2,3,9,1,5,0,15,0,10
13,55,Travel_Rarely,452,Research & Development,1,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,3,1,7608,1,3164,26,3,80,0,37,2,3,Medical,1,374,4,3,10,4,13,0,5,0,36
14,41,Travel_Frequently,1018,Sales,1,Female,66,3,2,Sales Executive,1,Divorced,4103,4297,0,Y,No,17,3,1,1,25567,4,7126,10,4,80,1,10,2,3,Marketing,1,1349,3,3,3,1,7,0,15,0,9
15,45,Travel_Frequently,1249,Research & Development,7,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,Y,No,18,3,5,1,2475,0,8743,9,1,80,1,24,2,3,Life Sciences,1,425,1,3,9,9,11,0,12,0,24
16,30,Travel_Rarely,153,Research & Development,8,Female,73,4,3,Research Director,1,Married,11416,17802,0,Y,Yes,12,3,1,1,15737,4,1071,24,3,80,3,9,4,2,Life Sciences,1,1015,2,2,7,1,7,0,2,0,8
17,26,Travel_Rarely,775,Sales,29,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,Y,No,12,3,4,1,8520,1,5425,0,1,80,2,8,5,2,Medical,1,618,1,3,0,0,0,0,17,0,0
18,28,Travel_Rarely,1217,Research & Development,1,Female,67,3,1,Research Scientist,1,Married,3591,12719,1,Y,No,25,4,4,1,17790,4,8519,2,3,80,1,3,3,3,Medical,1,1834,3,3,2,1,2,0,18,0,3
19,35,Travel_Rarely,1029,Research & Development,16,Female,91,2,3,Healthcare Representative,2,Single,8606,21195,1,Y,No,19,3,5,1,36156,0,7203,6,4,80,0,11,3,3,Life Sciences,1,1529,4,1,8,3,3,0,11,0,11
20,47,Travel_Rarely,249,Sales,2,Female,35,3,2,Sales Executive,4,Married,4537,17783,0,Y,Yes,22,4,2,1,36804,6,1743,5,1,80,1,8,2,2,Marketing,1,903,3,3,6,7,7,0,7,0,7
21,40,Travel_Rarely,804,Research & Development,2,Female,86,2,1,Research Scientist,4,Single,2342,22929,0,Y,Yes,20,4,2,1,30974,1,5628,2,4,80,0,10,2,1,Medical,1,763,4,2,2,2,3,0,9,0,4
22,32,Travel_Rarely,499,Sales,2,Male,36,3,2,Sales Executive,2,Married,4078,20497,0,Y,Yes,13,3,1,1,29758,3,3493,2,1,80,3,4,3,1,Marketing,1,1396,3,2,2,1,2,0,13,0,3
23,27,Travel_Rarely,1377,Research & Development,11,Male,91,3,1,Laboratory Technician,1,Married,2099,7679,0,Y,No,14,3,2,1,714,6,9639,0,2,80,0,6,3,1,Life Sciences,1,1434,2,4,0,1,4,0,15,0,5
24,56,Travel_Rarely,1255,Research & Development,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,Y,No,22,4,4,1,42286,6,8785,0,4,80,1,5,3,2,Life Sciences,1,1441,1,4,2,1,0,0,13,0,3
25,40,Travel_Frequently,692,Research & Development,11,Female,73,3,2,Laboratory Technician,3,Married,6323,26849,1,Y,No,11,3,5,1,3890,2,4844,3,1,80,1,10,2,3,Technical Degree,1,1985,4,4,9,9,4,0,9,0,10
26,24,Travel_Rarely,1448,Sales,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,4,1,15018,2,10136,6,2,80,0,6,4,1,Technical Degree,1,554,1,3,3,1,4,0,23,1,5
27,25,Travel_Frequently,599,Sales,24,Male,73,1,1,Sales Representative,4,Single,1118,8040,1,Y,Yes,14,3,1,1,28629,5,4193,0,4,80,0,1,4,1,Life Sciences,1,1273,3,3,0,1,0,0,8,1,1
28,42,Travel_Rarely,622,Research & Development,2,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,3,1,1,28610,1,4354,1,2,80,2,10,4,4,Life Sciences,1,659,3,3,2,2,2,0,7,0,10
29,45,Travel_Rarely,1329,Research & Development,2,Female,59,2,2,Manufacturing Director,4,Divorced,5770,5388,1,Y,No,19,3,4,1,19550,4,9303,15,1,80,2,10,3,2,Other,1,1635,4,3,7,3,9,0,22,0,10
30,38,Travel_Rarely,1206,Research & Development,9,Male,71,3,1,Research Scientist,4,Divorced,4771,14293,2,Y,No,19,3,1,1,39469,6,8442,6,4,80,2,10,0,2,Life Sciences,1,1940,2,4,2,0,3,0,16,0,5
31,44,Non-Travel,111,Research & Development,17,Male,74,1,1,Research Scientist,3,Single,2290,4279,2,Y,No,13,3,1,1,25448,4,777,0,4,80,0,6,3,3,Life Sciences,1,1206,4,3,0,0,0,0,1,0,0
32,42,Travel_Rarely,933,Research & Development,29,Male,98,3,2,Manufacturing Director,2,Married,4434,11806,1,Y,No,13,3,3,1,19092,3,6531,8,4,80,1,10,3,3,Life Sciences,1,836,2,2,8,7,8,0,9,0,9
33,40,Travel_Rarely,1416,Research & Development,2,Male,49,3,5,Research Director,3,Divorced,19436,5949,0,Y,No,19,3,1,1,30577,5,9912,15,4,80,1,22,5,2,Medical,1,352,1,3,7,3,9,0,28,0,21
34,33,Travel_Rarely,211,Sales,16,Female,74,3,3,Sales Executive,1,Single,8564,10092,2,Y,Yes,20,4,2,1,19741,5,1477,0,3,80,0,11,2,3,Life Sciences,1,1758,1,2,0,0,0,0,2,1,0
35,27,Travel_Frequently,591,Research & Development,2,Male,87,3,1,Research Scientist,4,Single,2580,6297,2,Y,No,13,3,4,1,22460,1,4137,2,3,80,0,6,0,3,Medical,1,1648,4,2,2,1,2,0,6,0,4
36,52,Non-Travel,715,Research & Development,19,Male,41,3,1,Research Scientist,4,Married,4258,26589,0,Y,No,18,3,4,1,48899,6,5005,3,1,80,1,5,3,4,Medical,1,791,4,3,3,1,2,0,17,0,4
37,31,Travel_Rarely,1232,Research & Development,7,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,1,8128,5,8624,18,3,80,0,11,2,4,Medical,1,462,3,2,9,4,10,0,31,0,11
38,26,Travel_Rarely,471,Research & Development,24,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Y,Yes,18,3,1,1,17239,0,3297,0,2,80,0,1,3,3,Technical Degree,1,622,3,1,0,0,0,0,7,1,1
39,25,Travel_Rarely,1219,Research & Development,4,Male,32,3,1,Laboratory Technician,4,Married,3691,4605,1,Y,Yes,15,3,3,1,4209,4,8533,7,2,80,1,7,3,1,Technical Degree,1,1106,4,4,7,5,6,0,38,1,7
40,55,Travel_Rarely,836,Research & Development,2,Male,98,2,1,Research Scientist,4,Married,2662,7975,8,Y,No,20,4,2,1,15760,1,5852,8,2,80,1,19,2,4,Technical Degree,1,1873,2,4,2,0,4,0,8,0,5
41,30,Travel_Rarely,1329,Sales,29,Male,61,3,2,Sales Executive,1,Divorced,4115,13192,8,Y,No,19,3,5,1,48649,4,9303,9,3,80,3,8,3,4,Life Sciences,1,1211,3,3,3,0,3,0,21,0,4
42,31,Non-Travel,325,Research & Development,5,Male,74,3,2,Manufacturing Director,1,Single,9936,3787,0,Y,No,19,3,3,1,22229,3,2275,14,2,80,0,10,2,3,Medical,1,2057,2,3,4,1,7,0,4,0,9
43,34,Travel_Rarely,970,Research & Development,8,Female,96,3,2,Healthcare Representative,3,Single,6142,7360,3,Y,No,11,3,2,1,27651,6,6790,0,4,80,0,10,2,2,Medical,1,757,2,3,1,4,3,0,10,0,5
44,27,Travel_Rarely,1134,Research & Development,16,Female,37,3,1,Laboratory Technician,2,Married,2811,12086,9,Y,No,14,3,5,1,2134,1,7938,1,2,80,1,4,2,4,Technical Degree,1,1001,3,3,2,2,2,0,30,0,2
45,27,Travel_Rarely,1291,Sales,11,Female,98,4,1,Sales Representative,4,Married,2534,6527,8,Y,No,14,3,5,1,6368,6,9037,0,2,80,1,5,4,3,Medical,1,1364,3,3,0,0,0,0,13,0,1
46,54,Travel_Rarely,971,Research & Development,1,Female,54,3,4,Research Director,4,Single,17328,5652,6,Y,No,19,3,3,1,1852,5,6797,3,4,80,0,29,3,3,Medical,1,1422,4,2,7,12,7,0,17,0,20
47,30,Travel_Frequently,109,Research & Development,5,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,Y,No,17,3,2,1,33727,6,763,2,1,80,0,4,3,3,Medical,1,1017,2,3,2,1,2,0,1,1,3
48,23,Travel_Rarely,650,Research & Development,9,Male,37,3,1,Laboratory Technician,1,Married,2500,4344,1,Y,No,14,3,2,1,41726,3,4550,6,4,80,1,5,2,1,Medical,1,758,2,4,3,0,2,0,17,0,4
49,31,Travel_Frequently,793,Sales,20,Male,67,4,1,Sales Representative,4,Married,2791,21981,0,Y,No,12,3,4,1,40049,3,5551,1,1,80,1,3,4,3,Life Sciences,1,1135,3,3,2,2,2,0,11,0,2
50,32,Travel_Rarely,495,Research & Development,10,Male,64,3,3,Manager,4,Single,11244,21072,2,Y,No,25,4,5,1,22934,3,3465,0,2,80,0,10,5,3,Medical,1,1516,3,4,2,0,0,0,7,0,5
51,22,Travel_Rarely,217,Research & Development,8,Male,94,1,1,Laboratory Technician,1,Married,2451,6881,1,Y,No,15,3,1,1,35028,6,1519,1,1,80,1,4,3,1,Life Sciences,1,1019,2,2,3,1,1,0,2,0,4
52,25,Travel_Rarely,949,Research & Development,1,Male,81,3,1,Laboratory Technician,4,Married,3229,4910,4,Y,No,11,3,3,1,39984,1,6643,4,2,80,1,7,2,3,Technical Degree,1,1415,1,2,2,0,2,0,11,0,3
53,32,Travel_Frequently,1311,Research & Development,7,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,Y,No,20,4,4,1,15497,2,9177,3,3,80,0,5,3,3,Life Sciences,1,359,2,1,1,0,3,0,13,0,5
54,31,Travel_Rarely,1003,Sales,5,Male,51,3,2,Sales Executive,3,Married,8346,20943,1,Y,No,19,3,1,1,41516,5,7021,4,3,80,1,6,3,3,Technical Degree,1,1749,1,3,2,0,2,0,19,0,5
55,36,Travel_Rarely,885,Research & Development,16,Female,43,4,1,Laboratory Technician,1,Single,2743,8269,1,Y,No,16,3,3,1,21457,4,6195,11,3,80,0,18,1,4,Life Sciences,1,1042,3,3,13,15,14,0,20,1,17
56,36,Travel_Rarely,559,Research & Development,12,Female,76,3,2,Manufacturing Director,3,Married,4663,12421,9,Y,Yes,12,3,5,1,4816,4,3913,1,2,80,2,7,2,4,Life Sciences,1,1614,3,3,2,1,1,0,7,0,3
57,26,Travel_Rarely,933,Sales,1,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,5,1,11503,1,6531,6,2,80,1,8,3,3,Life Sciences,1,476,3,3,7,,7,0,16,0,8
58,39,Travel_Rarely,1162,Sales,3,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Y,Yes,18,3,3,1,44268,5,8134,0,1,80,0,12,3,2,Medical,1,445,4,2,0,0,0,0,28,1,1
59,37,Non-Travel,142,Sales,9,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,5,1,12640,2,994,4,4,80,1,9,6,4,Medical,1,626,1,3,5,7,7,0,2,0,9
60,55,Travel_Rarely,1441,Research & Development,22,Male,94,2,1,Research Scientist,2,Divorced,3537,23737,5,Y,No,12,3,3,1,33356,3,10087,2,4,80,1,8,1,3,Technical Degree,1,1694,1,3,2,1,2,0,15,0,4
61,35,Travel_Frequently,146,Research & Development,2,Male,79,2,1,Research Scientist,4,Single,4930,13970,0,Y,Yes,14,3,5,1,24592,4,1022,8,3,80,0,6,2,4,Medical,1,1704,1,4,4,1,4,0,1,0,5
62,42,Travel_Rarely,1265,Research & Development,3,Female,95,4,2,Laboratory Technician,4,Married,5231,23726,2,Y,Yes,13,3,1,1,46231,0,8855,4,2,80,1,17,1,3,Life Sciences,1,894,3,2,3,1,3,0,13,0,5
63,30,Non-Travel,879,Research & Development,9,Female,72,3,2,Manufacturing Director,3,Single,4695,12858,7,Y,Yes,18,3,5,1,10439,1,6153,14,3,80,0,10,3,2,Medical,1,1298,3,3,4,1,7,0,12,0,8
64,45,Travel_Rarely,549,Research & Development,8,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,3,1,24085,0,3843,7,1,80,2,12,3,4,Other,1,452,4,3,9,9,8,0,7,0,10
65,51,Travel_Rarely,942,Research & Development,3,Female,53,3,3,Manager,3,Married,13116,22984,2,Y,No,11,3,3,1,32383,3,6594,1,4,80,0,15,2,3,Technical Degree,1,1786,1,3,2,2,2,0,17,0,2
66,36,Travel_Rarely,1266,Sales,10,Female,63,2,2,Sales Executive,3,Married,5673,6060,1,Y,Yes,13,3,4,1,13722,0,8862,31,1,80,1,10,4,4,Technical Degree,1,1880,2,3,9,1,7,0,20,0,10
67,29,Travel_Frequently,574,Research & Development,20,Male,40,3,1,Laboratory Technician,4,Married,3812,7003,1,Y,No,13,3,3,1,46997,0,4018,20,2,80,0,11,3,1,Medical,1,1852,4,4,8,3,10,0,14,0,11
68,35,Travel_Rarely,528,Human Resources,8,Male,100,3,1,Human Resources,3,Single,4323,7108,1,Y,No,17,3,5,1,17916,3,3696,8,2,80,0,6,2,4,Technical Degree,1,1164,3,1,4,1,4,0,5,0,5
69,31,Travel_Rarely,1332,Research & Development,11,Male,80,3,2,Healthcare Representative,1,Married,6833,17089,1,Y,Yes,12,3,2,1,45843,3,9324,5,4,80,0,6,2,2,Medical,1,1251,3,2,5,0,1,0,16,0,6
70,25,Travel_Rarely,1382,Sales,8,Female,85,3,2,Sales Executive,3,Divorced,4907,13684,0,Y,Yes,22,4,2,1,27351,6,9674,12,2,80,1,6,3,2,Other,1,2018,1,2,3,0,4,0,16,0,5
71,56,Travel_Rarely,832,Research & Development,9,Male,81,3,4,Healthcare Representative,4,Married,11103,20420,7,Y,No,11,3,4,1,22644,2,5824,3,3,80,0,30,1,3,Medical,1,762,3,2,7,1,1,0,10,0,10
72,33,Travel_Frequently,1111,Sales,5,Male,61,3,2,Sales Executive,4,Married,9998,19293,6,Y,No,13,3,5,1,41105,3,7777,4,1,80,0,8,2,1,Life Sciences,1,1395,2,4,4,1,2,0,18,0,5
73,34,Non-Travel,1362,Sales,19,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,1,1,40060,6,9534,8,2,80,0,9,3,3,Marketing,1,502,1,2,2,0,4,0,20,1,5
74,35,Travel_Rarely,1370,Research & Development,27,Male,49,3,2,Manufacturing Director,3,Married,6883,5151,2,Y,No,16,3,4,1,36939,6,9590,49,2,80,1,17,3,4,Life Sciences,1,1728,4,3,7,0,7,0,27,0,7
75,43,Travel_Rarely,782,Research & Development,6,Male,50,2,4,Research Director,4,Divorced,16627,2671,4,Y,Yes,14,3,3,1,20697,4,5474,0,3,80,1,21,3,4,Other,1,661,2,2,0,0,0,0,15,0,1
76,48,Non-Travel,1262,Research & Development,1,Male,35,4,4,Manager,4,Single,16885,16154,2,Y,No,22,4,1,1,39658,6,8834,1,3,80,0,27,3,4,Medical,1,1116,1,2,4,2,1,0,36,0,5
77,39,Travel_Rarely,524,Research & Development,18,Male,32,3,2,Manufacturing Director,3,Single,4534,13352,0,Y,No,11,3,5,1,6343,4,3668,24,1,80,0,9,6,2,Life Sciences,1,1322,1,3,7,1,7,0,16,0,8
78,36,Non-Travel,217,Research & Development,18,Male,78,3,2,Manufacturing Director,4,Single,7779,23238,2,Y,No,20,4,5,1,37167,0,1519,81,1,80,0,18,0,4,Life Sciences,1,1133,1,3,9,0,9,0,2,0,11
79,52,Travel_Frequently,322,Research & Development,28,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,Yes,11,3,1,1,15548,3,2254,6,2,80,1,24,3,2,Medical,1,1401,4,2,3,0,2,0,5,0,5
80,39,Travel_Frequently,203,Research & Development,2,Male,84,3,4,Healthcare Representative,4,Divorced,12169,13547,7,Y,No,11,3,4,1,42704,1,1421,2,4,80,3,21,4,3,Life Sciences,1,1127,1,3,7,11,5,0,2,1,18
81,36,Travel_Rarely,172,Research & Development,4,Male,37,2,2,Laboratory Technician,4,Single,5810,22604,1,Y,No,16,3,3,1,21233,1,1204,16,3,80,0,10,2,4,Life Sciences,1,1435,1,2,4,1,8,0,4,0,10
82,33,Travel_Rarely,1198,Research & Development,1,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,3,1,27640,5,8386,4,2,80,0,6,1,4,Other,1,939,3,3,2,0,2,0,11,0,3
83,47,Travel_Rarely,1482,Research & Development,5,Male,42,3,5,Research Director,3,Married,18300,16375,4,Y,No,11,3,2,1,40608,0,10374,1,2,80,1,21,2,5,Life Sciences,1,447,4,3,2,1,1,0,35,0,3
84,30,Travel_Rarely,570,Sales,5,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,Y,No,13,3,1,1,24830,6,3990,9,3,80,3,10,2,3,Marketing,1,456,4,3,9,1,2,0,19,0,10
85,53,Travel_Rarely,1168,Sales,24,Male,66,3,3,Sales Executive,1,Single,10448,5843,6,Y,Yes,13,3,2,1,21092,2,8176,1,2,80,0,15,2,4,Life Sciences,1,1968,1,2,2,2,2,0,17,1,2
86,21,Travel_Rarely,996,Research & Development,3,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,Y,No,17,3,2,1,33514,1,6972,0,1,80,0,3,4,2,Medical,1,379,4,4,2,1,0,0,9,0,3
87,28,Travel_Rarely,736,Sales,26,Male,48,2,2,Sales Executive,1,Married,4724,24232,1,Y,No,11,3,2,1,9190,3,5152,12,3,80,1,5,0,3,Life Sciences,1,1387,3,3,3,0,4,0,15,0,5
88,40,Travel_Rarely,523,Research & Development,2,Male,98,3,2,Research Scientist,4,Single,4661,22455,1,Y,No,13,3,4,1,16581,5,3661,7,3,80,0,9,4,3,Life Sciences,1,1346,3,3,8,8,8,0,5,0,9
89,38,Travel_Frequently,240,Research & Development,2,Female,75,4,2,Manufacturing Director,1,Single,5980,26085,6,Y,Yes,12,3,3,1,17920,2,1680,16,4,80,0,17,2,4,Life Sciences,1,803,1,3,7,4,12,0,3,0,15
90,32,Travel_Rarely,128,Research & Development,2,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,Y,No,13,3,1,1,20276,4,896,8,4,80,0,9,5,1,Technical Degree,1,362,4,3,2,0,4,0,1,0,6
91,25,Travel_Rarely,141,Sales,3,Male,98,3,2,Sales Executive,1,Married,4194,14363,1,Y,Yes,18,3,5,1,5864,5,987,9,4,80,0,5,3,1,Other,1,879,3,3,3,0,3,0,1,0,5
92,54,Travel_Rarely,584,Research & Development,22,Female,91,3,4,Manager,3,Married,17426,18685,3,Y,No,25,4,1,1,20017,4,4088,11,3,80,1,36,6,5,Medical,1,1665,2,3,8,4,7,0,6,0,10
93,55,Travel_Frequently,1091,Research & Development,2,Male,65,3,3,Manufacturing Director,2,Married,10976,15813,3,Y,No,18,3,5,1,11109,4,7637,2,2,80,1,23,4,1,Life Sciences,1,1096,4,3,2,1,2,0,16,0,3
94,37,Travel_Frequently,1231,Sales,21,Female,54,3,1,Sales Representative,4,Married,2973,21222,5,Y,No,15,3,5,1,33207,5,8617,0,2,80,1,10,3,2,Medical,1,900,3,3,4,0,0,0,22,0,5
95,42,Non-Travel,179,Human Resources,2,Male,79,4,2,Human Resources,1,Married,6272,12858,7,Y,No,16,3,3,1,8526,6,1253,9,1,80,1,10,3,5,Medical,1,1231,4,4,3,0,3,0,2,0,4
96,44,Travel_Rarely,921,Research & Development,2,Female,96,4,3,Healthcare Representative,4,Married,7879,14810,1,Y,Yes,19,3,5,1,34870,4,6447,7,2,80,1,9,2,3,Life Sciences,1,1703,3,3,7,6,7,0,9,0,8
97,37,Travel_Rarely,1141,Research & Development,11,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,4,1,12579,5,7987,0,1,80,0,15,2,2,Medical,1,1033,1,1,0,0,0,0,18,1,1
98,49,Travel_Rarely,1261,Research & Development,7,Male,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,5,1,19334,3,8827,0,3,80,0,26,2,3,Other,1,499,2,3,2,0,0,0,40,0,5
99,24,Travel_Rarely,771,Research & Development,1,Male,45,2,2,Healthcare Representative,3,Single,4617,14120,1,Y,No,12,3,5,1,30100,4,5397,3,2,80,0,4,2,2,Life Sciences,1,1981,2,2,3,1,2,0,17,0,4
100,35,Non-Travel,208,Research & Development,8,Female,52,3,2,Healthcare Representative,3,Married,4148,12250,1,Y,No,12,3,4,1,2131,2,1456,33,4,80,1,15,5,4,Life Sciences,1,1630,3,3,11,2,9,0,4,0,14
101,47,Travel_Rarely,983,Research & Development,2,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,4,1,34444,2,6881,0,3,80,3,20,2,2,Medical,1,574,1,3,0,0,4,0,15,0,5
102,55,Travel_Rarely,1311,Research & Development,2,Female,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,5,1,15848,2,9177,4,3,80,0,30,2,3,Life Sciences,1,505,3,3,4,1,2,0,13,0,5
103,33,Travel_Frequently,1076,Research & Development,3,Male,70,3,1,Research Scientist,1,Single,3348,3164,1,Y,Yes,11,3,1,1,6936,5,7532,5,1,80,0,10,3,3,Life Sciences,1,702,1,3,8,9,7,0,15,1,10
104,34,Travel_Rarely,167,Research & Development,8,Female,32,3,2,Manufacturing Director,1,Divorced,5121,4187,3,Y,No,14,3,5,1,36255,2,1169,0,3,80,1,7,3,5,Life Sciences,1,775,2,3,0,0,0,0,5,0,0
105,23,Travel_Rarely,427,Sales,7,Male,99,3,1,Sales Representative,4,Divorced,2275,25103,1,Y,Yes,21,4,5,1,46627,6,2989,4,2,80,1,3,2,3,Life Sciences,1,1702,3,3,2,0,2,0,4,1,3
106,32,Travel_Rarely,977,Research & Development,2,Male,45,3,2,Research Scientist,2,Divorced,5470,25518,0,Y,No,13,3,5,1,45349,3,6839,15,3,80,2,10,4,3,Medical,1,1671,4,2,5,1,6,0,21,0,9
107,31,Travel_Rarely,329,Research & Development,1,Male,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,4,1,28898,1,2303,1,3,80,1,4,3,2,Life Sciences,1,530,4,3,2,3,2,0,3,0,4
108,28,Non-Travel,1103,Research & Development,16,Male,49,3,1,Research Scientist,3,Single,2144,2122,1,Y,No,14,3,5,1,15166,2,7721,6,3,80,0,5,3,3,Medical,1,1947,3,2,3,1,4,0,22,0,5
109,34,Travel_Rarely,971,Sales,1,Male,64,2,3,Sales Executive,3,Married,7083,12288,1,Y,Yes,14,3,3,1,33144,4,6797,6,4,80,0,10,3,3,Technical Degree,1,1535,4,3,9,8,6,0,15,0,10
110,29,Travel_Rarely,1378,Research & Development,13,Male,46,2,2,Laboratory Technician,2,Married,4025,23679,4,Y,Yes,13,3,4,1,40112,2,9646,9,1,80,1,10,2,2,Other,1,2053,4,3,3,0,3,0,29,0,4
111,33,Non-Travel,1038,Sales,8,Female,88,2,1,Sales Representative,4,Single,2342,21437,0,Y,No,19,3,5,1,21507,1,7266,1,4,80,0,3,2,1,Life Sciences,1,1044,2,2,2,2,2,0,11,0,2
112,27,Non-Travel,443,Research & Development,3,Male,50,3,1,Research Scientist,4,Married,1706,16571,1,Y,No,11,3,2,1,49633,2,3101,0,3,80,3,0,6,3,Medical,1,850,4,2,0,0,0,0,8,0,0
113,31,Travel_Frequently,1445,Research & Development,1,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,5,1,7560,2,10115,11,1,80,0,10,2,5,Life Sciences,1,1459,3,3,8,4,7,0,14,1,10
114,33,Travel_Rarely,603,Sales,9,Female,77,3,2,Sales Executive,1,Single,8224,18385,0,Y,Yes,17,3,3,1,28271,5,4221,6,1,80,0,6,3,4,Marketing,1,1157,1,3,2,0,3,0,7,1,5
